X,Series0
0,-0.446792126
0.00012207,-0.146193981
0.000244141,0.177292347
0.000366211,0.07963609
0.000488281,0.039963238
0.000610352,-0.127883434
0.000732422,0.24290514
0.000854492,0.065903179
0.000976563,0.226120472
0.001098633,-0.117202289
0.001220703,-0.07447768
0.001342773,-0.080581196
0.001464844,-0.050063618
0.001586914,-0.010390766
0.001708984,-0.323195934
0.001831055,-0.274367809
0.001953125,-0.184340954
0.002075195,-0.184340954
0.002197266,-0.379653454
0.002319336,-0.013442524
0.002441406,0.10710191
0.002563477,-0.198073864
0.002685547,-0.181289196
0.002807617,0.090317242
0.002929688,0.108627789
0.003051758,0.001816265
0.003173828,0.235275745
0.003295898,-0.00428725
0.003417969,0.339035511
0.003540039,0.268845081
0.003662109,0.02317857
0.00378418,-0.019546039
0.00390625,0.105576031
0.00402832,0.233749866
0.004150391,-0.021071918
0.004272461,0.097946636
0.004394531,-0.076003559
0.004516602,0.128464222
0.004638672,0.035385601
0.004760742,-0.1019435
0.004882813,-0.196547985
0.005004883,-0.172133923
0.005126953,-0.008864887
0.005249023,-0.005813129
0.005371094,-0.11567641
0.005493164,0.044540875
0.005615234,-0.16145277
0.005737305,-0.228591442
0.005859375,-0.080581196
0.005981445,0.044540875
0.006103516,0.02317857
0.006225586,-0.016494282
0.006347656,0.506882191
0.006469727,0.055222027
0.006591797,0.189499378
0.006713867,0.07963609
0.006835938,0.302414417
0.006958008,-0.224013805
0.007080078,0.412277699
0.007202148,0.206284046
0.007324219,0.278000355
0.007446289,-0.021071918
0.007568359,-0.007339008
0.00769043,-0.425429821
0.0078125,-0.010390766
0.00793457,-0.103469379
0.008056641,-0.2316432
0.008178711,-0.211806774
0.008300781,-0.216384411
0.008422852,-0.130935192
0.008544922,0.119308941
0.008666992,-0.321670055
0.008789063,-0.201125622
0.008911133,0.220016956
0.009033203,0.163559437
0.009155273,0.102524273
0.009277344,-0.024123676
0.009399414,0.126938343
0.009521484,-0.281997204
0.009643555,0.006393902
0.009765625,-0.249953747
0.009887695,0.117783062
0.010009766,-0.205703259
0.010131836,-0.167556286
0.010253906,-0.156875134
0.010375977,-0.410171032
0.010498047,-0.239272594
0.010620117,-0.037856586
0.010742188,-0.256057262
0.010864258,-0.076003559
0.010986328,0.087265484
0.011108398,0.015549175
0.011230469,0.157455921
0.011352539,-0.173659801
0.011474609,0.044540875
0.01159668,0.029282086
0.01171875,0.358871937
0.01184082,0.18644762
0.011962891,0.244431019
0.012084961,0.166611195
0.012207031,0.129990101
0.012329102,0.044540875
0.012451172,0.043014996
0.012573242,-0.07447768
0.012695313,0.183395863
0.012817383,0.123886578
0.012939453,0.137619495
0.013061523,-0.050063618
0.013183594,0.046066754
0.013305664,-0.263686657
0.013427734,-0.253005505
0.013549805,-0.01802016
0.013671875,-0.307937145
0.013793945,0.168137074
0.013916016,-0.278945446
0.014038086,-0.083632953
0.014160156,-0.280471325
0.014282227,-0.022597797
0.014404297,-0.234694958
0.014526367,-0.040908344
0.014648438,0.178818226
0.014770508,0.122360699
0.014892578,0.383285999
0.015014648,-0.166030407
0.015136719,0.21543932
0.015258789,0.209335804
0.015380859,0.415329456
0.01550293,0.093369
0.015625,0.232223988
0.01574707,-0.059218891
0.015869141,0.068954937
0.015991211,0.070480816
0.016113281,0.049118511
0.016235352,-0.442214489
0.016357422,-0.066848285
0.016479492,-0.164504528
0.016601563,-0.338454723
0.016723633,-0.086684711
0.016845703,-0.213332653
0.016967773,-0.300307751
0.017089844,-0.32929945
0.017211914,-0.010390766
0.017333984,-0.091262348
0.017456055,0.087265484
0.017578125,0.134567738
0.017700195,-0.158401012
0.017822266,-0.137038708
0.017944336,0.085739605
0.018066406,0.204758167
0.018188477,-0.176711559
0.018310547,-0.291152477
0.018432617,0.047592632
0.018554688,0.010971539
0.018676758,-0.00428725
0.018798828,-0.132461071
0.018920898,-0.280471325
0.019042969,-0.278945446
0.019165039,-0.152297497
0.019287109,0.181869984
0.01940918,-0.358291149
0.01953125,0.093369
0.01965332,-0.159926891
0.019775391,0.212387562
0.019897461,-0.513930798
0.020019531,0.178818226
0.020141602,-0.016494282
0.020263672,0.189499378
0.020385742,-0.005813129
0.020507813,0.149826527
0.020629883,0.111679547
0.020751953,-0.051589496
0.020874023,0.305466175
0.020996094,-0.089736469
0.021118164,0.290207386
0.021240234,0.174240589
0.021362305,0.110153668
0.021484375,-0.021071918
0.021606445,0.441269398
0.021728516,-0.237746716
0.021850586,0.099472515
0.021972656,-0.144668102
0.022094727,0.076584332
0.022216797,-0.507827282
0.022338867,0.294785023
0.022460938,-0.292678356
0.022583008,0.149826527
0.022705078,-0.431533337
0.022827148,0.043014996
0.022949219,-0.162978649
0.023071289,0.046066754
0.023193359,-0.150771618
0.02331543,0.117783062
0.0234375,0.119308941
0.02355957,0.085739605
0.023681641,0.075058453
0.023803711,-0.042434223
0.023925781,0.332931995
0.024047852,0.122360699
0.024169922,0.308517933
0.024291992,-0.153823376
0.024414063,0.212387562
0.024536133,-0.187392712
0.024658203,0.078110211
0.024780273,-0.103469379
0.024902344,0.099472515
0.025024414,-0.095839985
0.025146484,0.017075054
0.025268555,-0.181289196
0.025390625,0.027756207
0.025512695,0.020126812
0.025634766,-0.04701186
0.025756836,-0.182815075
0.025878906,-0.097365864
0.026000977,0.201706409
0.026123047,0.139145374
0.026245117,0.189499378
0.026367188,-0.121779926
0.026489258,0.02317857
0.026611328,-0.062270649
0.026733398,0.293259144
0.026855469,-0.109572895
0.026977539,0.067429058
0.027099609,-0.256057262
0.02722168,0.149826527
0.02734375,-0.071425922
0.02746582,-0.205703259
0.027587891,-0.39948988
0.027709961,-0.236220837
0.027832031,-0.318618298
0.027954102,-0.344558239
0.028076172,-0.49714613
0.028198242,-0.156875134
0.028320313,-0.339980602
0.028442383,-0.228591442
0.028564453,-0.085158832
0.028686523,-0.037856586
0.028808594,-0.063796528
0.028930664,0.026230328
0.029052734,0.220016956
0.029174805,-0.03327895
0.029296875,0.429062366
0.029418945,0.174240589
0.029541016,0.230698109
